,keywords,total kemunculan,tf,idf,tf_idf
632,an,336,0.022840051662021618,-5.817111159963204,-0.13286311941728207
453,as,204,0.013867174223370268,-5.318119993844216,-0.07374729649542656
606,at,193,0.013119434436815989,-5.262690188904886,-0.0690435188946124
511,in,181,0.012303718306029502,-5.198497031265826,-0.06396084308742536
237,er,138,0.009380735504044592,-4.927253685157205,-0.04622126358178875
268,da,122,0.008293113996329277,-4.804021044733257,-0.03984029416473777
269,li,101,0.006865610767452926,-4.61512051684126,-0.03168562111351827
2,st,98,0.0066616817347563044,-4.584967478670572,-0.030543594107111417
583,un,98,0.0066616817347563044,-4.584967478670572,-0.030543594107111417
58,asi,89,0.00604989463666644,-4.48863636973214,-0.027155777099188393
240,is,85,0.0057779892597376115,-4.442651256490317,-0.025669591244760856
416,di,83,0.005642036571273197,-4.418840607796598,-0.024931260311815487
262,pe,82,0.00557406022704099,-4.406719247264253,-0.024563318487911684
446,or,73,0.004962273128951125,-4.290459441148391,-0.02129043159566532
108,it,71,0.004826320440486711,-4.2626798770413155,-0.02057305902181588
734,ata,69,0.004690367752022296,-4.23410650459726,-0.01985951660779083
442,gan,61,0.004146556998164639,-4.110873864173311,-0.017045972790059954
421,sa,57,0.00387465162123581,-4.04305126783455,-0.015665415149654638
154,ram,52,0.003534769900074774,-3.951243718581427,-0.01396673736430115
254,data,51,0.003466793555842567,-3.9318256327243257,-0.013630827766225316
733,to,50,0.0033988172116103596,-3.912023005428146,-0.01329625112306487
169,gram,48,0.0032628645231459453,-3.871201010907891,-0.012631204440458078
477,pr,46,0.003126911834681531,-3.828641396489095,-0.011971824093433375
729,pro,41,0.002787030113520495,-3.713572066704308,-0.010349837178633445
722,adu,40,0.0027190537692882875,-3.6888794541139363,-0.01003026158415862
689,nggan,39,0.0026510774250560806,-3.6635616461296463,-0.009712385575355599
117,ke,39,0.0026510774250560806,-3.6635616461296463,-0.009712385575355599
92,are,39,0.0026510774250560806,-3.6635616461296463,-0.009712385575355599
646,lam,38,0.002583101080823873,-3.6375861597263857,-0.009396252740779189
385,langgan,37,0.0025151247365916662,-3.6109179126442243,-0.009081908963893433
688,be,35,0.002379172048127252,-3.5553480614894135,-0.008458784729259023
378,sistem,31,0.002107266671198423,-3.4339872044851463,-0.007236326785333392
196,the,29,0.0019713139827340085,-3.367295829986474,-0.006637997353654255
37,lama,28,0.0019033376385018013,-3.332204510175204,-0.006342310263401924
156,hal,28,0.0019033376385018013,-3.332204510175204,-0.006342310263401924
434,pln,28,0.0019033376385018013,-3.332204510175204,-0.006342310263401924
116,guna,27,0.0018353612942695941,-3.295836866004329,-0.006049051416091148
405,aplikas,26,0.001767384950037387,-3.258096538021482,-0.005758310787068081
391,up,25,0.0016994086058051798,-3.2188758248682006,-0.005470185277799267
591,uji,25,0.0016994086058051798,-3.2188758248682006,-0.005470185277799267
331,aplikasi,25,0.0016994086058051798,-3.2188758248682006,-0.005470185277799267
528,pt,24,0.0016314322615729726,-3.1780538303479458,-0.005184779547845198
400,halaman,24,0.0016314322615729726,-3.1780538303479458,-0.005184779547845198
284,ser,24,0.0016314322615729726,-3.1780538303479458,-0.005184779547845198
615,for,23,0.0015634559173407655,-3.1354942159291497,-0.004902206985682173
71,has,23,0.0015634559173407655,-3.1354942159291497,-0.004902206985682173
180,tel,23,0.0015634559173407655,-3.1354942159291497,-0.004902206985682173
543,id,23,0.0015634559173407655,-3.1354942159291497,-0.004902206985682173
228,informa,22,0.0014954795731085583,-3.0910424533583156,-0.004622590848608724
508,use,21,0.0014275032288763511,-3.044522437723423,-0.004346065610236686
280,no,21,0.0014275032288763511,-3.044522437723423,-0.004346065610236686
389,gambar,21,0.0014275032288763511,-3.044522437723423,-0.004346065610236686
16,program,20,0.0013595268846441438,-2.995732273553991,-0.004072778565092775
635,kel,20,0.0013595268846441438,-2.995732273553991,-0.004072778565092775
582,diag,20,0.0013595268846441438,-2.995732273553991,-0.004072778565092775
600,ic,20,0.0013595268846441438,-2.995732273553991,-0.004072778565092775
694,diagram,19,0.0012915505404119366,-2.9444389791664407,-0.0038028917547523874
118,and,19,0.0012915505404119366,-2.9444389791664407,-0.0038028917547523874
350,asa,18,0.0012235741961797294,-2.890371757896165,-0.0035365843003283917
149,complaint,17,0.0011555978519475223,-2.833213344056216,-0.0032740552545004195
272,informasi,16,0.001087621507715315,-2.772588722239781,-0.00301552712635691
522,iv,16,0.001087621507715315,-2.772588722239781,-0.00301552712635691
303,of,16,0.001087621507715315,-2.772588722239781,-0.00301552712635691
222,tampil,15,0.001019645163483108,-2.70805020110221,-0.0027612502900233264
647,parepare,15,0.001019645163483108,-2.70805020110221,-0.0027612502900233264
129,log,15,0.001019645163483108,-2.70805020110221,-0.0027612502900233264
415,case,15,0.001019645163483108,-2.70805020110221,-0.0027612502900233264
301,ada,15,0.001019645163483108,-2.70805020110221,-0.0027612502900233264
264,tugas,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
436,cara,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
246,bas,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
215,persero,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
136,bua,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
4,lapor,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
671,box,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
80,web,14,0.0009516688192509006,-2.639057329615259,-0.0025115085728103885
653,keluh,13,0.0008836924750186935,-2.5649493574615367,-0.002266626445992793
194,teliti,13,0.0008836924750186935,-2.5649493574615367,-0.002266626445992793
375,varchar,13,0.0008836924750186935,-2.5649493574615367,-0.002266626445992793
207,mer,13,0.0008836924750186935,-2.5649493574615367,-0.002266626445992793
466,dan,13,0.0008836924750186935,-2.5649493574615367,-0.002266626445992793
620,pangsid,12,0.0008157161307864863,-2.4849066497880004,-0.002026978437730678
607,metode,12,0.0008157161307864863,-2.4849066497880004,-0.002026978437730678
424,layan,12,0.0008157161307864863,-2.4849066497880004,-0.002026978437730678
674,ini,12,0.0008157161307864863,-2.4849066497880004,-0.002026978437730678
